

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.109  000.105: event init
000.251  000.142: early init
000.606  000.355: locale set
000.626  000.019: init first window
001.090  000.464: inits 1
001.100  000.010: window checked
001.105  000.004: parsing arguments
001.670  000.104  000.104: require('vim.shared')
001.790  000.041  000.041: require('vim._meta')
001.792  000.118  000.077: require('vim._editor')
001.794  000.268  000.046: require('vim._init_packages')
001.796  000.424: init lua interpreter
003.711  001.915: expanding arguments
003.866  000.155: inits 2
004.160  000.294: init highlight
004.161  000.001: waiting for UI
006.665  002.503: done waiting for UI
006.680  000.016: init screen for UI
006.861  000.181: init default mappings
006.875  000.014: init default autocommands
009.503  000.099  000.099: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/ftplugin.vim
009.867  000.038  000.038: sourcing /opt/homebrew/Cellar/neovim/0.8.2/share/nvim/runtime/indent.vim
010.711  000.348  000.348: require('lspkind')
010.908  000.196  000.196: require('neodev')
011.055  000.144  000.144: require('neodev.config')
011.461  000.221  000.221: require('neodev.util')
011.463  000.398  000.177: require('neodev.lsp')
014.427  000.311  000.311: require('vim.lsp.log')
015.323  000.005  000.005: require('vim.F')
015.325  000.896  000.892: require('vim.lsp.protocol')
017.243  000.593  000.593: require('vim.lsp._snippet')
017.516  000.271  000.271: require('vim.highlight')
017.530  002.204  001.340: require('vim.lsp.util')
017.541  003.984  000.573: require('vim.lsp.handlers')
018.103  000.560  000.560: require('vim.lsp.rpc')
018.439  000.334  000.334: require('vim.lsp.sync')
019.034  000.594  000.594: require('vim.lsp.buf')
019.298  000.263  000.263: require('vim.lsp.diagnostic')
019.594  000.294  000.294: require('vim.lsp.codelens')
019.641  007.560  001.531: require('vim.lsp')
019.691  008.226  000.666: require('lspconfig.util')
021.395  000.184  000.184: require('fidget.log')
021.400  000.593  000.408: require('fidget')
021.567  000.147  000.147: require('fidget.spinners')
021.999  000.115  000.115: require('lsp-zero.presets')
022.337  000.086  000.086: require('lsp-zero.settings')
022.341  000.340  000.254: require('lsp-zero.server')
022.346  000.750  000.294: require('lsp-zero')
022.547  000.171  000.171: require('lsp-zero.installer')
022.914  000.126  000.126: require('mason-core.path')
022.919  000.251  000.126: require('mason.settings')
023.345  000.201  000.201: require('mason-core.functional')
023.630  000.104  000.104: require('mason-core.functional.data')
023.635  000.275  000.171: require('mason-core.functional.function')
023.758  000.113  000.113: require('mason-core.functional.relation')
023.892  000.128  000.128: require('mason-core.functional.logic')
023.905  000.985  000.268: require('mason-core.platform')
023.907  001.358  000.122: require('mason')
024.327  000.232  000.232: require('mason-core.log')
024.329  000.421  000.189: require('mason-lspconfig')
025.078  000.304  000.304: require('lspconfig.configs')
025.080  000.452  000.148: require('lspconfig')
025.754  000.233  000.233: require('mason-core.functional.list')
025.769  000.453  000.220: require('mason.api.command')
026.109  000.102  000.102: require('mason-lspconfig.settings')
026.259  000.148  000.148: require('mason-lspconfig.lspconfig_hook')
026.680  000.185  000.185: require('mason-core.functional.table')
026.720  000.460  000.275: require('mason-lspconfig.mappings.server')
027.363  000.253  000.253: require('mason-core.async')
027.455  000.091  000.091: require('mason-core.async.uv')
027.459  000.549  000.206: require('mason-core.fs')
027.580  000.120  000.120: require('mason-core.optional')
027.694  000.111  000.111: require('mason-core.EventEmitter')
027.904  000.209  000.209: require('mason-registry.index')
027.910  001.189  000.198: require('mason-registry')
027.995  000.084  000.084: require('mason-lspconfig.server_config_extensions')
028.145  000.148  000.148: require('lspconfig.server_configurations.omnisharp')
028.572  000.087  000.087: require('mason-core.notify')
028.669  000.095  000.095: require('mason-core.functional.number')
028.681  000.371  000.189: require('mason-lspconfig.api.command')
028.929  000.116  000.116: require('cmp_nvim_lsp.source')
028.931  000.231  000.115: require('cmp_nvim_lsp')
029.239  000.145  000.145: require('lspconfig.server_configurations.tailwindcss')
030.870  000.105  000.105: require('cmp.utils.debug')
031.189  000.148  000.148: require('cmp.utils.char')
031.193  000.322  000.174: require('cmp.utils.str')
031.297  000.102  000.102: require('cmp.utils.pattern')
031.831  000.185  000.185: require('cmp.utils.misc')
031.933  000.101  000.101: require('cmp.utils.buffer')
032.065  000.131  000.131: require('cmp.utils.api')
032.081  000.657  000.240: require('cmp.utils.keymap')
032.084  000.786  000.129: require('cmp.utils.feedkeys')
032.248  000.163  000.163: require('cmp.utils.async')
032.572  000.101  000.101: require('cmp.types.cmp')
032.733  000.161  000.161: require('cmp.types.lsp')
032.821  000.087  000.087: require('cmp.types.vim')
032.822  000.439  000.091: require('cmp.types')
032.926  000.103  000.103: require('cmp.utils.cache')
032.928  000.679  000.137: require('cmp.context')
033.515  000.154  000.154: require('cmp.config.mapping')
033.834  000.194  000.194: require('cmp.config.compare')
033.835  000.319  000.125: require('cmp.config.default')
033.845  000.664  000.191: require('cmp.config')
034.374  000.180  000.180: require('cmp.matcher')
034.377  000.531  000.351: require('cmp.entry')
034.381  001.452  000.256: require('cmp.source')
034.672  000.107  000.107: require('cmp.utils.event')
035.045  000.222  000.222: require('cmp.utils.window')
035.046  000.373  000.151: require('cmp.view.docs_view')
035.473  000.115  000.115: require('cmp.utils.autocmd')
035.479  000.432  000.317: require('cmp.view.custom_entries_view')
035.723  000.243  000.243: require('cmp.view.wildmenu_entries_view')
035.911  000.187  000.187: require('cmp.view.native_entries_view')
036.052  000.140  000.140: require('cmp.view.ghost_text_view')
036.060  001.679  000.196: require('cmp.view')
036.200  005.828  000.540: require('cmp.core')
036.369  000.095  000.095: require('cmp.config.sources')
036.475  000.105  000.105: require('cmp.config.window')
036.512  006.412  000.383: require('cmp')
037.601  000.089  000.089: require('luasnip.session')
037.606  000.467  000.378: require('luasnip.util.util')
037.809  000.202  000.202: require('luasnip.session.snippet_collection')
038.280  000.318  000.318: require('luasnip.util._builtin_vars')
038.321  000.039  000.039: require('vim.inspect')
038.366  000.555  000.199: require('luasnip.util.environ')
038.469  000.102  000.102: require('luasnip.util.extend_decorator')
038.683  000.087  000.087: require('luasnip.loaders._caches')
038.825  000.140  000.140: require('luasnip.util.path')
038.836  000.366  000.138: require('luasnip.loaders')
038.985  000.146  000.146: require('luasnip.util.log')
039.283  000.098  000.098: require('luasnip.util.types')
039.443  000.159  000.159: require('luasnip.util.ext_opts')
039.568  000.124  000.124: require('luasnip.extras.filetype_functions')
039.775  000.782  000.401: require('luasnip.config')
039.777  003.070  000.450: require('luasnip')
039.784  003.267  000.197: require('lsp-zero.nvim-cmp-setup')
040.035  000.147  000.147: require('cmp_nvim_lua')
040.191  000.144  000.144: require('lspconfig.server_configurations.sumneko_lua')
041.205  000.142  000.142: require('luasnip.loaders.util')
042.171  000.123  000.123: require('luasnip.nodes.util')
042.251  000.079  000.079: require('luasnip.util.events')
042.256  000.389  000.188: require('luasnip.nodes.node')
042.469  000.212  000.212: require('luasnip.nodes.insertNode')
042.563  000.093  000.093: require('luasnip.nodes.textNode')
042.689  000.124  000.124: require('luasnip.util.mark')
042.799  000.109  000.109: require('luasnip.util.pattern_tokenizer')
042.888  000.088  000.088: require('luasnip.util.dict')
042.913  001.493  000.477: require('luasnip.nodes.snippet')
043.444  000.124  000.124: require('luasnip.util.parser.neovim_ast')
043.559  000.114  000.114: require('luasnip.util.str')
044.110  000.109  000.109: require('luasnip.util.directed_graph')
044.113  001.004  000.658: require('luasnip.util.parser.ast_utils')
044.256  000.142  000.142: require('luasnip.nodes.functionNode')
044.462  000.205  000.205: require('luasnip.nodes.choiceNode')
044.657  000.193  000.193: require('luasnip.nodes.dynamicNode')
044.743  000.085  000.085: require('luasnip.util.functions')
044.746  001.817  000.188: require('luasnip.util.parser.ast_parser')
044.998  000.251  000.251: require('luasnip.util.parser.neovim_parser')
045.001  003.697  000.136: require('luasnip.util.parser')
045.003  003.798  000.100: require('luasnip.nodes.snippetProxy')
045.007  004.131  000.192: require('luasnip.loaders.from_vscode')
052.109  011.513  007.382: require('lsp-zero.snippets')
057.025  001.055  001.055: require('vim.diagnostic')
057.228  000.089  000.089: require('lsp-zero.utils')
057.231  000.202  000.113: require('lsp-zero.state')
057.419  000.111  000.111: require('lspconfig.server_configurations.tsserver')
057.820  000.104  000.104: require('lspconfig.server_configurations.html')
058.210  000.110  000.110: require('lspconfig.server_configurations.astro')
058.411  000.083  000.083: require('mason-lspconfig.typescript')
058.412  000.156  000.074: require('mason-lspconfig.server_configurations.astro')
058.665  000.097  000.097: require('lspconfig.server_configurations.cssls')
059.086  000.197  000.197: require('lspconfig.server_configurations.eslint')
059.404  000.091  000.091: require('lspconfig.server_configurations.emmet_ls')
059.729  000.111  000.111: require('lspconfig.server_configurations.clangd')
060.083  000.092  000.092: require('lspconfig.server_configurations.taplo')
